tweet_id,created_at,text,retweet_count,quote_count,reply_count,favorite_count
1420952350513106944,Fri Jul 30 03:40:15 +0000 2021,"https://t.co/4FWk7XpXwq
US $500 million direct investment pours into Zambia https://t.co/5qSgTHWTVI",1,0,1,0
1420950808120659968,Fri Jul 30 03:34:07 +0000 2021,"https://t.co/nAWk6aqVPo
U.S aims at Authoritarian Regimes Worldwide: Is Zambia a target too? https://t.co/uKtvNlx02H",5,0,4,23
1420814001680887813,Thu Jul 29 18:30:30 +0000 2021,"https://t.co/yQejgaexFk
Government happy with private sectors’ role in diversifying economy https://t.co/kYCTjoJG3p",0,0,0,4
1420812956804255750,Thu Jul 29 18:26:20 +0000 2021,"https://t.co/lCRb5my6tY
640 new confirmed COVID-19 cases with 19 deaths recorded in last 24 hours https://t.co/GXrlFQs1CH",0,0,0,3
1420812459242369026,Thu Jul 29 18:24:22 +0000 2021,"https://t.co/iF5k9HoJsi
Government to help Chisokone Marketeers whose stands were gutted https://t.co/UZuJaVv5Dl",2,1,1,5
1420793941629280258,Thu Jul 29 17:10:47 +0000 2021,"https://t.co/NuJ71jrBOL
President Lungu happy with church-Sumaili https://t.co/38lwDx9UIp",0,1,3,5
1420793630525173764,Thu Jul 29 17:09:33 +0000 2021,"https://t.co/0RxtURlkCV
Stakeholders describe ballot papers printing process credible https://t.co/RG42yUR62E",0,1,1,1
1420717003329966082,Thu Jul 29 12:05:03 +0000 2021,"https://t.co/oDtmSdK6Ph
Green Buffaloes Face  Black Rhino Queens in Inaugural CAF Womens Champions League Draw",0,0,1,0
1420699040346480644,Thu Jul 29 10:53:41 +0000 2021,"https://t.co/maBG4O1Rs9
ZICTA seeks public input on 5G roll out https://t.co/xkEfwjzhyv",2,0,0,0
1420698616491085826,Thu Jul 29 10:52:00 +0000 2021,"https://t.co/6IpqwU7R8h
Five things to watch in the Zambian elections https://t.co/3d299m4uDG",1,0,0,0
1420697417230528513,Thu Jul 29 10:47:14 +0000 2021,"https://t.co/mbg5kBacmv
FQM shelves plans to sell Kansanshi and Sentinel Mines https://t.co/g2HlDwFFwT",0,0,0,2
1420697095460298760,Thu Jul 29 10:45:57 +0000 2021,"https://t.co/umff5uJnKS
Nothing irregular with companies compelling workers to take Covid-19 vaccines-Labour Commis… https://t.co/CYAciUNvCn",2,0,0,3
1420693391562715136,Thu Jul 29 10:31:14 +0000 2021,"https://t.co/WjZfdvE1CQ
Next government should urgently address Kabwe lead pollution issue, human rights organizati… https://t.co/ENydVb9ZWQ",1,0,1,1
1420692356450357248,Thu Jul 29 10:27:07 +0000 2021,"https://t.co/U11lvZKv7M
Zambia Army to construct a Barracks in Chinsali https://t.co/uTqjJuxb8L",1,0,0,13
1420690379083485187,Thu Jul 29 10:19:16 +0000 2021,"https://t.co/YZQb8NXDko
Extend accreditation process of monitors, ECZ urged https://t.co/EM1QhskVJi",0,0,0,1
1420649444974997504,Thu Jul 29 07:36:36 +0000 2021,"https://t.co/YmfQyggKhT
Power Dynamos Sign Short-Term Deal With Umbro",0,0,0,2
1420629681972391936,Thu Jul 29 06:18:04 +0000 2021,"https://t.co/VsRsEHHFBP
HH has ethnically poisoned the people of Southern Province to believing that tribalism was… https://t.co/iEQSmLplw1",0,0,2,2
1420628527196647424,Thu Jul 29 06:13:29 +0000 2021,"https://t.co/dZYUILJ3MT
Zambia received 151,200 more doses of Johnson and Johnsons Vaccine https://t.co/oAr4rjmB6C",0,0,0,9
1420608230649118720,Thu Jul 29 04:52:50 +0000 2021,"https://t.co/iYM0gsWstu
ECZ suspend UPND from campaigning in Ikelenge District https://t.co/iXOX3s0imQ",0,0,0,7
1420604439489126404,Thu Jul 29 04:37:46 +0000 2021,"https://t.co/wZoaEVkOcJ
Defend themselves if attacked, UPND National Youth Chairman tells Party Youths https://t.co/T8JbrdDhJ0",0,0,1,7
1420600679022923777,Thu Jul 29 04:22:50 +0000 2021,"https://t.co/xNYBQo9keW
HH promises to Lower the Price of Fertiliser from K800 to K250 in August when elected https://t.co/JvMvnzXuL4",1,1,1,16
1420591390040469505,Thu Jul 29 03:45:55 +0000 2021,"https://t.co/sAg1bPxLvj
Soccer analysts welcome Chambeshi, Mumamba appointment https://t.co/vNQuzSIzKv",0,0,0,5
1420471781714956294,Wed Jul 28 19:50:38 +0000 2021,"https://t.co/y6f7UCqQaR
Eastern province adequately stocked with drugs https://t.co/FVLKTfvrQS",0,1,0,5
1420470239599411217,Wed Jul 28 19:44:30 +0000 2021,"https://t.co/FbzsCsE1Vg
Chief Chitambo buried https://t.co/YiFtWGeNKF",0,0,0,0
1420469898501791748,Wed Jul 28 19:43:09 +0000 2021,"https://t.co/R46C5MselD
Hakainde Hichilema is the member of the African Liberal Network that advocates for Homosexu… https://t.co/QbqvEs8LPU",2,11,46,35
1420468502780121090,Wed Jul 28 19:37:36 +0000 2021,"https://t.co/lJA9tCXkLJ
Give Zero Votes to the Opposition, Nawakwi tells people in Luapula Province https://t.co/fOUTMk3ykK",0,3,12,15
1420464021568987136,Wed Jul 28 19:19:48 +0000 2021,"https://t.co/Cp3HAcNgBG
The controversy around the recent election polls: a Researcher’s perspectives https://t.co/MB91vp6N3f",0,0,0,0
1420462053513441280,Wed Jul 28 19:11:59 +0000 2021,"https://t.co/UwidbtXV1F
OLYMPICS WRAP: Zambia's Boxing Hopes Dwindle to One",0,0,0,0
1420454999486783492,Wed Jul 28 18:43:57 +0000 2021,"https://t.co/I9nJmvp1LI
Lazarus Kambole Leaves  Kaizer Chiefs",0,0,0,1
1420378507939651590,Wed Jul 28 13:40:00 +0000 2021,"https://t.co/OwEdFxxY9J
GBM advises Zambians to give President Lungu another mandate https://t.co/U9S42wqlcQ",0,0,3,2
1420378281858289670,Wed Jul 28 13:39:06 +0000 2021,"https://t.co/SYjDR0qqV3
Shepolopolo Stars Review Their Olympic Debut",0,0,0,0
1420378098684604417,Wed Jul 28 13:38:22 +0000 2021,"https://t.co/ytpgpwV6pq
Agricultural and Commercial Society of Zambia  has postpones this year's Agricultural and C… https://t.co/AQL2eSYQ8k",0,0,1,1
1420377709839097856,Wed Jul 28 13:36:50 +0000 2021,"https://t.co/z9yEKHreN7
Chembo Joins Forest Rangers Bench",0,0,0,0
1420374144483463169,Wed Jul 28 13:22:39 +0000 2021,"https://t.co/GG5ZJ8rXri
UPND Accuse President Edgar Lungu of blocking HH  from campaigning for the August 12 Electi… https://t.co/8uRR6LyTSv",0,0,2,5
